"","Site","Oi_sum","Oe_sum","Oa_sum","E_sum","Bhs_sum","Bs_sum","BC_sum","C_sum","Bhb_sum","B_sum","R_sum","Bs1_sum","Bs2_sum","Bhs1_sum","Bhs2_sum","Bh_sum","BC?_sum","E1_sum","E2_sum","A_sum","Eb_sum","BCb'_sum","Eb'_sum","Bsb_sum","BCb''_sum","BC'1_sum","BC'2_sum","BC'3_sum","E/Bg_sum","Bh?_sum","E/Bhs1_sum","Oa1_sum","Oa2_sum","C1_sum","C2_sum","E/Bhs_sum","Bh1_sum","Bh2_sum","E/B_sum","B?_sum","O_sum","HPU","Bottom_Interface","Total_Depth","allO_thickness","allE_thickness","allBhs_thickness","allBs_thickness","allBh_thickness","allBg_thickness","allBw_thickness","allBC_thickness","allC_thickness","Sub","Site2","x","y","geometry"
"59","42R18C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","11",8,0,0,0,3,0,0,0,0,42,"R18C9",281640.234,4871181.483,c(281640.234, 4871181.483)
"60","42R19C10",0,0,0,0,6,15,14,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"Bh","64",9,0,6,15,14,0,0,14,0,42,"R19C10",281647.259,4871181.801,c(281647.259, 4871181.801)
"61","42R19C11",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,"R","55",12,0,16,0,27,0,0,0,0,42,"R19C11",281650.736,4871181.242,c(281650.736, 4871181.242)
"62","42R19C12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,"R","44",12,0,0,0,32,0,0,0,0,42,"R19C12",281656.282,4871180.347,c(281656.282, 4871180.347)
"63","42R19C13",0,0,0,7,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","47",8,7,26,6,0,0,0,0,0,42,"R19C13",281659.483,4871178.896,c(281659.483, 4871178.896)
"64","42R19C14",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA,"R","34",16,0,18,0,0,0,0,0,0,42,"R19C14",281666.626,4871174.024,c(281666.626, 4871174.024)
"65","42R19C7",0,0,0,0,15,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"C","53",9,0,15,0,0,0,0,15,0,42,"R19C7",281631.589,4871182.964,c(281631.589, 4871182.964)
"66","42R19C8",0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"C","31",8,13,10,0,0,0,0,0,0,42,"R19C8",281635.446,4871182.949,c(281635.446, 4871182.949)
"67","42R19C9",0,0,0,2,3,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"R","28",7,2,3,5,0,0,0,0,0,42,"R19C9",281641.635,4871177.886,c(281641.635, 4871177.886)
"68","42R1C1",0,0,0,0,22,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"R","32",1,0,22,0,0,0,0,0,0,42,"R1C1",281607.53,4871275.36,c(281607.53, 4871275.36)
"69","42R1C2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,"R","5",4,1,0,0,0,0,0,0,0,42,"R1C2",281612.758,4871273.811,c(281612.758, 4871273.811)
"70","42R1C3",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","10",6,4,0,0,0,0,0,0,0,42,"R1C3",281617.598,4871274.943,c(281617.598, 4871274.943)
"71","42R1C4",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,"Bhs","14",10,4,0,0,0,0,0,0,0,42,"R1C4",281621.306,4871275.854,c(281621.306, 4871275.854)
"72","42R1C5",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,"R","10",8,2,0,0,0,0,0,0,0,42,"R1C5",281628.93,4871274.436,c(281628.93, 4871274.436)
"73","42R1C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,"R","20",20,0,0,0,0,0,0,0,0,42,"R1C6",281632.873,4871274.509,c(281632.873, 4871274.509)
"74","42R1C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","6",6,0,0,0,0,0,0,0,0,42,"R1C7",281638.327,4871274.613,c(281638.327, 4871274.613)
"75","42R1C8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,"C","7",7,0,0,0,0,0,0,0,0,42,"R1C8",281642.051,4871273.904,c(281642.051, 4871273.904)
"76","42R20C10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"C","18",6,0,0,0,12,0,0,0,0,42,"R20C10",281648.369,4871178.047,c(281648.369, 4871178.047)
"77","42R20C11",0,0,0,0,39,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"Bh","72",6,0,39,0,0,0,0,0,0,42,"R20C11",281651.181,4871173.169,c(281651.181, 4871173.169)
"78","42R20C12",0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"R","32",9,0,11,0,0,0,0,12,0,42,"R20C12",281655.588,4871172.686,c(281655.588, 4871172.686)
